"genspe","gesp","b1","b2","b3","b4","formulaType","coefSource"
"ACEPEN","ACPE",4.68,2.38,NA,NA,7,"hf"
"ACERUB","ACRU",-2.2202,2.3922,NA,NA,3,"hf"
"ACESAC","ACSA",-1.2906,2.2193,NA,NA,3,"hf"
"ACESPP","ACSP",-2.2202,2.3922,NA,NA,3,"hf"
"ALNINC","ALIN",33.722,2.712,NA,NA,5,"hf"
"AMELAE","AMLA",71.534,2.391,NA,NA,5,"hf"
"AROMEL","ARME",-2.2118,2.4133,NA,NA,3,"hf"
"BETALL","BEAL",-1.5415,2.2603,NA,NA,3,"hf"
"BETLEN","BELE",0.0629,2.6606,NA,NA,1,"hf"
"BETPAP","BEPA",-3.0818,2.6833,NA,NA,3,"hf"
"BETPOP","BEPO",-1.83496,2.30868,NA,NA,3,"hf"
"BETSPP","BESP",0.0629,2.6606,NA,NA,1,"hf"
"CASDEN","CADE",-1.881,2.386,NA,NA,3,"hf"
"CRASPP","CRSP",3.6834,2.3405,NA,NA,7,"hf"
"CRASPP","CRSP",3.6834,2.3405,NA,NA,7,"hf"
"FAGGRA","FAGR",-1.3421,2.2308,NA,NA,3,"hf"
"FRAALN","FRAL",30.971,2.764,NA,NA,5,"hf"
"FRAALN","FRAL",30.971,2.764,NA,NA,5,"hf"
"FRAAME","FRAM",-1.3806,2.2081,NA,NA,3,"hf"
"FRANIG","FRNI",0.1634,2.348,NA,NA,1,"hf"
"HAMVIR","HAVI",38.111,2.9,NA,NA,5,"hf"
"ILELAE","ILLA",53.497,3.34,NA,NA,5,"hf"
"ILEVER","ILVE",53.497,3.34,NA,NA,5,"hf"
"JUNCOM","JUCO",59.205,2.202,NA,NA,5,"hf"
"KALLAT","KALA",0.2036,1.9162,NA,NA,1,"hf"
"LARLAR","LALA",0.1265,2.2453,NA,NA,1,"hf"
"LINBEN","LIBE",-2.2118,2.4133,NA,NA,3,"hf"
"LYOLIG","LYLI",3.6685,1.8205,NA,NA,7,"hf"
"NEMMUC","NEMU",31.532,2.819,NA,NA,5,"hf"
"NYSSYL","NYSY",-2.48,2.4835,NA,NA,3,"hf"
"OSTVIR","OSVI",-2.48,2.4835,NA,NA,3,"hf"
"PICABI","PIAB",-2.6208,2.4555,NA,NA,3,"hf"
"PICRUB","PIRU",-2.6208,2.4555,NA,NA,3,"hf"
"PICSPP","PISP",-2.6208,2.4555,NA,NA,3,"hf"
"PINRES","PIRE",-2.0764,2.3168,NA,NA,3,"hf"
"PINSTR","PIST",-3.2928,2.6032,NA,NA,3,"hf"
"PINSPP","PISP",-2.0764,2.3168,NA,NA,3,"hf"
"POPGRA","POGR",0.0785,2.4981,NA,NA,1,"hf"
"POPTRE","POTR",0.0637,2.6087,NA,NA,1,"hf"
"PRUPEN","PRPE",0.9758,2.1948,NA,NA,1,"hf"
"PRUSER","PRSE",0.0716,2.6174,NA,NA,1,"hf"
"QUEALB","QUAL",-2.5201,2.59011,NA,NA,3,"hf"
"QUERUB","QURU",-1.881,2.386,NA,NA,3,"hf"
"QUEVEL","QUVE",-2.8206,2.659,NA,NA,3,"hf"
"QUESPP","QUSP",-1.881,2.386,NA,NA,3,"hf"
"RHOPRI","RHPR",3.8799,2.3936,NA,NA,7,"hf"
"SALSPE","SASP",60.153,2.202,NA,NA,5,"hf"
"SAMRAC","SARA",3.8799,2.3936,NA,NA,7,"hf"
"SORAME","SOAM",44.394,3.253,NA,NA,5,"hf"
"TOXRAD","TORA",62.134,2.46,NA,NA,5,"hf"
"TOXVER","TOVE",62.134,2.46,NA,NA,5,"hf"
"TSUCAN","TSCA",-2.2712,2.3444,NA,NA,3,"hf"
"ULMAME","ULAM",0.0825,2.468,NA,NA,1,"hf"
"VACCOR","VACO",3.6685,1.8205,NA,NA,7,"hf"
"VIBACE","VIAC",3.8799,2.3936,NA,NA,7,"hf"
"VIBALN","VIAL",29.615,3.243,NA,NA,5,"hf"
"VIBCAS","VICA",3.8799,2.3936,NA,NA,7,"hf"
"VIBDEN","VIDE",3.8799,2.3936,NA,NA,7,"hf"
"PICGLA","PIGL",-2.6208,2.4555,NA,NA,3,"hf"
"PINRIG","PIRI",0.104,2.3373,NA,NA,1,"hf"
"QUECOC","QUCO",0.2482,2.19,NA,NA,1,"hf"
"QUEPRI","QUPR",-2.5201,2.59011,NA,NA,3,"hf"
"ABIBAL","ABBA",-2.3123,2.3482,NA,NA,3,"JenkinsGen2013"
"ACESPI","ACSP",-2.047,2.3852,NA,NA,3,"JenkinsGen2013"
"AMESPP","AMSP",-2.2118,2.4133,NA,NA,3,"JenkinsGen2013"
"BETNIG","BENI",-1.8096,2.348,NA,NA,3,"JenkinsGen2013"
"CARCAR","CACA",-2.2652,2.5349,NA,NA,3,"JenkinsGen2013"
"CARCOR","CACO",-2.5095,2.6175,NA,NA,3,"JenkinsGen2013"
"CAROVA","CAOV",-2.5095,2.6175,NA,NA,3,"JenkinsGen2013"
"CARSPP","CASP",-2.5095,2.6175,NA,NA,3,"JenkinsGen2013"
"TILAME","TIAM",-2.4108,2.4177,NA,NA,3,"JenkinsGen2013"
"ULMSPP","ULSP",-2.2118,2.4133,NA,NA,3,"JenkinsGen2013"
"AILALT","AIAL",-2.48,2.4835,NA,NA,3,"JenkinsGen2003 mixed hardwoods"
"CARGLA","CAGL",-2.5095,2.6175,NA,NA,3,"JenkinsGen2013"
"JUGCIN","JUCI",-2.5095,2.5437,NA,NA,3,"JenkinsGen2013"
"THUOCC","THOC",-1.9615,2.1063,NA,NA,3,"JenkinsGen2013"
"MALSP","MASP",-2.2118,2.4133,NA,NA,3,"JenkinsGen2013 rosaeceae"
"POPSP","POSP",-2.4441,2.4561,NA,NA,3,"JenkinsGen2013 salicaceae >0.35"
"HAR","HA",-2.48,2.4835,NA,NA,3,"JenkinsGen2003 mixed hardwoods"
"ULMRUB","ULRU",-2.2118,2.4133,NA,NA,3,"JenkinsGen2013"
