plot_id,subplot,dbh,gesp,notes
LHNA,1,20.1,QURU,
LHNA,1,12.3,FAGR,
LHNA,1,36.9,ACRU,
LHNA,1,31,ACRU,
LHNA,1,36.6,ACRU,
LHNA,1,10,SNAG,
LHNA,1,53.7,PIRU,Originally marked Mariana
LHNA,1,17.9,TSCA,
LHNA,2,22.1,ACRU,
LHNA,2,27.5,ACRU,
LHNA,2,10.8,PIST,
LHNA,2,44.7,SNAG,Ash
LHNA,2,58.8,SNAG,
LHNA,2,14.5,FAGR,
LHNA,2,10.9,FAGR,
LHNA,3,48.2,PIST,
LHNA,3,28.5,TSCA,
LHNA,3,16.6,BELE,
LHNA,3,10.6,ACRU,
LHNA,3,70.6,PIST,
LHNA,3,71.2,PIST,
LHNA,3,14.8,FAGR,
LHNB,1,14.2,ACRU,Bulge - grew around a vine
LHNB,1,18,ACRU,
LHNB,1,13.7,ACRU,
LHNB,1,15.1,FAGR,Bark & leaf disease
LHNB,1,10.3,ACRU,
LHNB,1,12.2,ACRU,
LHNB,1,19.2,BEPA,
LHNB,1,19.7,QURU,
LHNB,1,20,ACRU,
LHNB,1,13.3,BEAL,
LHNB,1,15.6,FAGR,
LHNB,1,14.2,BEAL,
LHNB,1,11.2,ACRU,
LHNB,2,11.6,ACRU,
LHNB,2,23.8,BEAL,Originally marked Papyrifera
LHNB,2,12.3,CACA,American Hornbeam
LHNB,2,12.7,FAGR,Bark & leaf disease
LHNB,2,51.7,PIST,
LHNB,2,52.8,SNAG,Ash
LHNB,2,16,FAGR,Bark & leaf disease
LHNB,2,13.6,Red Maple,Liana
LHNB,3,20.1,FAGR,Bark & leaf disease
LHNB,3,13.1,PIRU,Originally marked Mariana
LHNB,3,13.9,PIRU,Originally marked Mariana
LHNB,3,11.1,ACRU,
LHNB,3,10.8,SNAG,Spruce
LHNB,3,40.3,PIST,
LHNB,3,85.1,QURU,
LHNB,3,10.2,TSCA,light adelgid
LHGA,1,13.4,BEAL,
LHGA,1,10.1,BEPO,
LHGA,1,12.2,ACRU,
LHGA,2,12,ACRU,
LHGA,2,21.2,ACRU,
LHGA,2,10.1,ACRU,
LHGA,3,17,BEAL,
LHGA,3,38,ACRU,
LHGA,3,48.3,ACRU,
LHGA,3,14.8,BEPO,small liana
LHGA,3,20.3,SNAG,ash
LHGA,3,51.3,SNAG,ash
GCNA,1,17.7,BEAL,
GCNA,1,12.8,BEEL,
GCNA,1,70.1,PIST,
GCNA,1,20.1,BELE,
GCNA,1,15.2,BEAL,
GCNA,1,16.7,BEAL,
GCNA,1,29.8,QURU,
GCNA,1,19.6,ACRU,
GCNA,1,13.3,ACPE,
GCNA,1,15.9,ACRU,
GCNA,2,21.5,SNAG,Broken top
GCNA,2,21.1,BELE,
GCNA,2,26.6,ACRU,
GCNA,3,26.9,ACRU,
GCNA,3,11.1,BEAL,
GCNA,3,22,ACRU,
GCNA,3,19.2,ACRU,
GCNA,3,10.1,FAGR,
GCNA,3,10.7,FAGR,
GCNA,3,16,ACRU,
GCNA,3,24.7,ACRU,
GCNA,3,28,SNAG,Broken top
GCNB,1,17.1,BELE,
GCNB,1,22.8,SNAG,PRSE
GCNB,1,27.3,SNAG,PRSE
